window_a,window_b,mean_tvd,max_tvd,n_shared_pairs,coverage_ratio,passed,warnings
22,23,0.060495551457089916,0.2272727272727273,26,1.0,False,Mean TVD 0.060 > 0.05 (FAIL). The transition kernel has shifted substantially between windows 22 and 23. Q-values learned in window 22 may be invalid in window 23 — this violates the Arslan & Yüksel stationarity requirement.
23,24,0.05992429194608029,0.25,27,0.9642857142857143,False,Mean TVD 0.060 > 0.05 (FAIL). The transition kernel has shifted substantially between windows 23 and 24. Q-values learned in window 23 may be invalid in window 24 — this violates the Arslan & Yüksel stationarity requirement.
24,25,0.06413665256880428,0.2,27,1.0,False,Mean TVD 0.064 > 0.05 (FAIL). The transition kernel has shifted substantially between windows 24 and 25. Q-values learned in window 24 may be invalid in window 25 — this violates the Arslan & Yüksel stationarity requirement.
25,26,0.07410565251741723,0.33333333333333337,25,0.9259259259259259,False,Mean TVD 0.074 > 0.05 (FAIL). The transition kernel has shifted substantially between windows 25 and 26. Q-values learned in window 25 may be invalid in window 26 — this violates the Arslan & Yüksel stationarity requirement.
26,27,0.05598515988787482,0.20833333333333334,26,1.0,False,Mean TVD 0.056 > 0.05 (FAIL). The transition kernel has shifted substantially between windows 26 and 27. Q-values learned in window 26 may be invalid in window 27 — this violates the Arslan & Yüksel stationarity requirement.
27,28,0.06758235636912108,0.1666666666666667,24,0.9230769230769231,False,Mean TVD 0.068 > 0.05 (FAIL). The transition kernel has shifted substantially between windows 27 and 28. Q-values learned in window 27 may be invalid in window 28 — this violates the Arslan & Yüksel stationarity requirement.
28,29,0.07167251608041081,0.30158730158730157,24,1.0,False,Mean TVD 0.072 > 0.05 (FAIL). The transition kernel has shifted substantially between windows 28 and 29. Q-values learned in window 28 may be invalid in window 29 — this violates the Arslan & Yüksel stationarity requirement.
29,30,0.061575378438768535,0.23214285714285712,24,1.0,False,Mean TVD 0.062 > 0.05 (FAIL). The transition kernel has shifted substantially between windows 29 and 30. Q-values learned in window 29 may be invalid in window 30 — this violates the Arslan & Yüksel stationarity requirement.
30,31,0.07390959929117823,0.37142857142857144,25,1.0,False,Mean TVD 0.074 > 0.05 (FAIL). The transition kernel has shifted substantially between windows 30 and 31. Q-values learned in window 30 may be invalid in window 31 — this violates the Arslan & Yüksel stationarity requirement.
31,32,0.04810588868599512,0.2285714285714286,26,0.9629629629629629,True,Mean TVD 0.048 > 0.025 (WARN). Moderate kernel drift between windows 31 and 32. Monitor whether this grows over training.
32,33,0.039216655113297166,0.14999999999999997,26,1.0,True,Mean TVD 0.039 > 0.025 (WARN). Moderate kernel drift between windows 32 and 33. Monitor whether this grows over training.
33,34,0.058244481959122275,0.17142857142857137,27,1.0,False,Mean TVD 0.058 > 0.05 (FAIL). The transition kernel has shifted substantially between windows 33 and 34. Q-values learned in window 33 may be invalid in window 34 — this violates the Arslan & Yüksel stationarity requirement.
34,35,0.06586762569784131,0.2777777777777778,27,1.0,False,Mean TVD 0.066 > 0.05 (FAIL). The transition kernel has shifted substantially between windows 34 and 35. Q-values learned in window 34 may be invalid in window 35 — this violates the Arslan & Yüksel stationarity requirement.
35,36,0.06897556419615243,0.2,26,0.9629629629629629,False,Mean TVD 0.069 > 0.05 (FAIL). The transition kernel has shifted substantially between windows 35 and 36. Q-values learned in window 35 may be invalid in window 36 — this violates the Arslan & Yüksel stationarity requirement.
36,37,0.040345178325947556,0.16666666666666663,26,1.0,True,Mean TVD 0.040 > 0.025 (WARN). Moderate kernel drift between windows 36 and 37. Monitor whether this grows over training.
37,38,0.05311402377578847,0.19047619047619047,30,1.0,False,Mean TVD 0.053 > 0.05 (FAIL). The transition kernel has shifted substantially between windows 37 and 38. Q-values learned in window 37 may be invalid in window 38 — this violates the Arslan & Yüksel stationarity requirement.
38,39,0.05302031759213316,0.19047619047619047,28,0.9333333333333333,False,Mean TVD 0.053 > 0.05 (FAIL). The transition kernel has shifted substantially between windows 38 and 39. Q-values learned in window 38 may be invalid in window 39 — this violates the Arslan & Yüksel stationarity requirement.
39,40,0.07176313301540162,0.3571428571428571,29,0.9666666666666667,False,Mean TVD 0.072 > 0.05 (FAIL). The transition kernel has shifted substantially between windows 39 and 40. Q-values learned in window 39 may be invalid in window 40 — this violates the Arslan & Yüksel stationarity requirement.
40,41,0.06497562523353104,0.225,28,0.9032258064516129,False,Mean TVD 0.065 > 0.05 (FAIL). The transition kernel has shifted substantially between windows 40 and 41. Q-values learned in window 40 may be invalid in window 41 — this violates the Arslan & Yüksel stationarity requirement.
41,42,0.08155717740414778,0.28571428571428575,28,1.0,False,Mean TVD 0.082 > 0.05 (FAIL). The transition kernel has shifted substantially between windows 41 and 42. Q-values learned in window 41 may be invalid in window 42 — this violates the Arslan & Yüksel stationarity requirement.
42,43,0.05956106289926953,0.2714285714285714,27,0.9642857142857143,False,Mean TVD 0.060 > 0.05 (FAIL). The transition kernel has shifted substantially between windows 42 and 43. Q-values learned in window 42 may be invalid in window 43 — this violates the Arslan & Yüksel stationarity requirement.
43,44,0.06689457031648295,0.2285714285714286,27,1.0,False,Mean TVD 0.067 > 0.05 (FAIL). The transition kernel has shifted substantially between windows 43 and 44. Q-values learned in window 43 may be invalid in window 44 — this violates the Arslan & Yüksel stationarity requirement.
44,45,0.0661053149967177,0.21428571428571427,26,0.9629629629629629,False,Mean TVD 0.066 > 0.05 (FAIL). The transition kernel has shifted substantially between windows 44 and 45. Q-values learned in window 44 may be invalid in window 45 — this violates the Arslan & Yüksel stationarity requirement.
45,46,0.07452182421159403,0.33333333333333337,25,0.9615384615384616,False,Mean TVD 0.075 > 0.05 (FAIL). The transition kernel has shifted substantially between windows 45 and 46. Q-values learned in window 45 may be invalid in window 46 — this violates the Arslan & Yüksel stationarity requirement.
46,47,0.05843817620288209,0.2,25,0.9615384615384616,False,Mean TVD 0.058 > 0.05 (FAIL). The transition kernel has shifted substantially between windows 46 and 47. Q-values learned in window 46 may be invalid in window 47 — this violates the Arslan & Yüksel stationarity requirement.
47,48,0.0662190092858109,0.2597402597402597,26,1.0,False,Mean TVD 0.066 > 0.05 (FAIL). The transition kernel has shifted substantially between windows 47 and 48. Q-values learned in window 47 may be invalid in window 48 — this violates the Arslan & Yüksel stationarity requirement.
48,49,0.07103204519139471,0.2727272727272727,26,1.0,False,Mean TVD 0.071 > 0.05 (FAIL). The transition kernel has shifted substantially between windows 48 and 49. Q-values learned in window 48 may be invalid in window 49 — this violates the Arslan & Yüksel stationarity requirement.
49,50,0.08967714666202188,0.30000000000000004,25,0.9259259259259259,False,Mean TVD 0.090 > 0.05 (FAIL). The transition kernel has shifted substantially between windows 49 and 50. Q-values learned in window 49 may be invalid in window 50 — this violates the Arslan & Yüksel stationarity requirement.
50,51,0.044610665062299916,0.30000000000000004,24,0.96,True,Mean TVD 0.045 > 0.025 (WARN). Moderate kernel drift between windows 50 and 51. Monitor whether this grows over training.
51,52,0.04632162750390304,0.22857142857142856,24,0.96,True,Mean TVD 0.046 > 0.025 (WARN). Moderate kernel drift between windows 51 and 52. Monitor whether this grows over training.
52,53,0.03519404572036151,0.18461538461538463,23,0.92,True,Mean TVD 0.035 > 0.025 (WARN). Moderate kernel drift between windows 52 and 53. Monitor whether this grows over training.
53,54,0.06543401899884127,0.17142857142857143,23,0.9583333333333334,False,Mean TVD 0.065 > 0.05 (FAIL). The transition kernel has shifted substantially between windows 53 and 54. Q-values learned in window 53 may be invalid in window 54 — this violates the Arslan & Yüksel stationarity requirement.
54,55,0.04140831331065549,0.15,23,1.0,True,Mean TVD 0.041 > 0.025 (WARN). Moderate kernel drift between windows 54 and 55. Monitor whether this grows over training.
55,56,0.06142875458374684,0.19444444444444445,24,1.0,False,Mean TVD 0.061 > 0.05 (FAIL). The transition kernel has shifted substantially between windows 55 and 56. Q-values learned in window 55 may be invalid in window 56 — this violates the Arslan & Yüksel stationarity requirement.
56,57,0.04554520952347039,0.20279720279720276,25,1.0,True,Mean TVD 0.046 > 0.025 (WARN). Moderate kernel drift between windows 56 and 57. Monitor whether this grows over training.
57,58,0.06238896469874731,0.24545454545454548,24,0.96,False,Mean TVD 0.062 > 0.05 (FAIL). The transition kernel has shifted substantially between windows 57 and 58. Q-values learned in window 57 may be invalid in window 58 — this violates the Arslan & Yüksel stationarity requirement.
58,59,0.07527027989931216,0.19047619047619047,25,1.0,False,Mean TVD 0.075 > 0.05 (FAIL). The transition kernel has shifted substantially between windows 58 and 59. Q-values learned in window 58 may be invalid in window 59 — this violates the Arslan & Yüksel stationarity requirement.
59,60,0.07580469849919565,0.3,25,0.9259259259259259,False,Mean TVD 0.076 > 0.05 (FAIL). The transition kernel has shifted substantially between windows 59 and 60. Q-values learned in window 59 may be invalid in window 60 — this violates the Arslan & Yüksel stationarity requirement.
60,61,0.05738188608776843,0.25714285714285706,25,0.9615384615384616,False,Mean TVD 0.057 > 0.05 (FAIL). The transition kernel has shifted substantially between windows 60 and 61. Q-values learned in window 60 may be invalid in window 61 — this violates the Arslan & Yüksel stationarity requirement.
61,62,0.06981911037019396,0.33333333333333337,25,0.9615384615384616,False,Mean TVD 0.070 > 0.05 (FAIL). The transition kernel has shifted substantially between windows 61 and 62. Q-values learned in window 61 may be invalid in window 62 — this violates the Arslan & Yüksel stationarity requirement.
62,63,0.06525880760903037,0.27972027972027974,25,0.9615384615384616,False,Mean TVD 0.065 > 0.05 (FAIL). The transition kernel has shifted substantially between windows 62 and 63. Q-values learned in window 62 may be invalid in window 63 — this violates the Arslan & Yüksel stationarity requirement.
63,64,0.0561764004890549,0.17777777777777776,23,0.92,False,Mean TVD 0.056 > 0.05 (FAIL). The transition kernel has shifted substantially between windows 63 and 64. Q-values learned in window 63 may be invalid in window 64 — this violates the Arslan & Yüksel stationarity requirement.
64,65,0.0616884672614549,0.19191919191919188,23,0.9583333333333334,False,Mean TVD 0.062 > 0.05 (FAIL). The transition kernel has shifted substantially between windows 64 and 65. Q-values learned in window 64 may be invalid in window 65 — this violates the Arslan & Yüksel stationarity requirement.
65,66,0.07617687648857725,0.24999999999999997,24,0.96,False,Mean TVD 0.076 > 0.05 (FAIL). The transition kernel has shifted substantially between windows 65 and 66. Q-values learned in window 65 may be invalid in window 66 — this violates the Arslan & Yüksel stationarity requirement.
66,67,0.05882419261410858,0.25,25,1.0,False,Mean TVD 0.059 > 0.05 (FAIL). The transition kernel has shifted substantially between windows 66 and 67. Q-values learned in window 66 may be invalid in window 67 — this violates the Arslan & Yüksel stationarity requirement.
67,68,0.054961851645384634,0.14285714285714285,25,1.0,False,Mean TVD 0.055 > 0.05 (FAIL). The transition kernel has shifted substantially between windows 67 and 68. Q-values learned in window 67 may be invalid in window 68 — this violates the Arslan & Yüksel stationarity requirement.
68,69,0.04671413145935373,0.225,23,0.92,True,Mean TVD 0.047 > 0.025 (WARN). Moderate kernel drift between windows 68 and 69. Monitor whether this grows over training.
69,70,0.06330733784082522,0.2285714285714286,24,1.0,False,Mean TVD 0.063 > 0.05 (FAIL). The transition kernel has shifted substantially between windows 69 and 70. Q-values learned in window 69 may be invalid in window 70 — this violates the Arslan & Yüksel stationarity requirement.
70,71,0.0729965794291051,0.3142857142857143,24,0.96,False,Mean TVD 0.073 > 0.05 (FAIL). The transition kernel has shifted substantially between windows 70 and 71. Q-values learned in window 70 may be invalid in window 71 — this violates the Arslan & Yüksel stationarity requirement.
71,72,0.06516597437650068,0.17272727272727273,23,0.92,False,Mean TVD 0.065 > 0.05 (FAIL). The transition kernel has shifted substantially between windows 71 and 72. Q-values learned in window 71 may be invalid in window 72 — this violates the Arslan & Yüksel stationarity requirement.
72,73,0.06902591228038799,0.225,23,0.9583333333333334,False,Mean TVD 0.069 > 0.05 (FAIL). The transition kernel has shifted substantially between windows 72 and 73. Q-values learned in window 72 may be invalid in window 73 — this violates the Arslan & Yüksel stationarity requirement.
73,74,0.049611803172174694,0.16666666666666663,24,1.0,True,Mean TVD 0.050 > 0.025 (WARN). Moderate kernel drift between windows 73 and 74. Monitor whether this grows over training.
74,75,0.06812170081439857,0.16666666666666669,24,1.0,False,Mean TVD 0.068 > 0.05 (FAIL). The transition kernel has shifted substantially between windows 74 and 75. Q-values learned in window 74 may be invalid in window 75 — this violates the Arslan & Yüksel stationarity requirement.
75,76,0.05526345315662199,0.2597402597402597,24,0.96,False,Mean TVD 0.055 > 0.05 (FAIL). The transition kernel has shifted substantially between windows 75 and 76. Q-values learned in window 75 may be invalid in window 76 — this violates the Arslan & Yüksel stationarity requirement.
76,77,0.05947284492029411,0.22222222222222224,25,0.9615384615384616,False,Mean TVD 0.059 > 0.05 (FAIL). The transition kernel has shifted substantially between windows 76 and 77. Q-values learned in window 76 may be invalid in window 77 — this violates the Arslan & Yüksel stationarity requirement.
77,78,0.06005426393800334,0.16666666666666669,25,1.0,False,Mean TVD 0.060 > 0.05 (FAIL). The transition kernel has shifted substantially between windows 77 and 78. Q-values learned in window 77 may be invalid in window 78 — this violates the Arslan & Yüksel stationarity requirement.
78,79,0.05367329955905808,0.2,25,0.9615384615384616,False,Mean TVD 0.054 > 0.05 (FAIL). The transition kernel has shifted substantially between windows 78 and 79. Q-values learned in window 78 may be invalid in window 79 — this violates the Arslan & Yüksel stationarity requirement.
79,80,0.050616383142566904,0.17094017094017094,26,0.9629629629629629,False,Mean TVD 0.051 > 0.05 (FAIL). The transition kernel has shifted substantially between windows 79 and 80. Q-values learned in window 79 may be invalid in window 80 — this violates the Arslan & Yüksel stationarity requirement.
80,81,0.051125745870483234,0.16666666666666669,26,0.9285714285714286,False,Mean TVD 0.051 > 0.05 (FAIL). The transition kernel has shifted substantially between windows 80 and 81. Q-values learned in window 80 may be invalid in window 81 — this violates the Arslan & Yüksel stationarity requirement.
81,82,0.05687620051307834,0.20238095238095238,26,1.0,False,Mean TVD 0.057 > 0.05 (FAIL). The transition kernel has shifted substantially between windows 81 and 82. Q-values learned in window 81 may be invalid in window 82 — this violates the Arslan & Yüksel stationarity requirement.
82,83,0.06857774438286621,0.2285714285714286,26,0.9629629629629629,False,Mean TVD 0.069 > 0.05 (FAIL). The transition kernel has shifted substantially between windows 82 and 83. Q-values learned in window 82 may be invalid in window 83 — this violates the Arslan & Yüksel stationarity requirement.
83,84,0.06381112250127388,0.1818181818181818,26,0.9629629629629629,False,Mean TVD 0.064 > 0.05 (FAIL). The transition kernel has shifted substantially between windows 83 and 84. Q-values learned in window 83 may be invalid in window 84 — this violates the Arslan & Yüksel stationarity requirement.
84,85,0.04405480970456326,0.14285714285714285,26,1.0,True,Mean TVD 0.044 > 0.025 (WARN). Moderate kernel drift between windows 84 and 85. Monitor whether this grows over training.
85,86,0.0675128369572814,0.35555555555555557,27,1.0,False,Mean TVD 0.068 > 0.05 (FAIL). The transition kernel has shifted substantially between windows 85 and 86. Q-values learned in window 85 may be invalid in window 86 — this violates the Arslan & Yüksel stationarity requirement.
86,87,0.05292859577510684,0.1373626373626374,26,0.9629629629629629,False,Mean TVD 0.053 > 0.05 (FAIL). The transition kernel has shifted substantially between windows 86 and 87. Q-values learned in window 86 may be invalid in window 87 — this violates the Arslan & Yüksel stationarity requirement.
87,88,0.05445007528340861,0.24999999999999997,27,0.9642857142857143,False,Mean TVD 0.054 > 0.05 (FAIL). The transition kernel has shifted substantially between windows 87 and 88. Q-values learned in window 87 may be invalid in window 88 — this violates the Arslan & Yüksel stationarity requirement.
88,89,0.07226452858472579,0.25,26,0.9285714285714286,False,Mean TVD 0.072 > 0.05 (FAIL). The transition kernel has shifted substantially between windows 88 and 89. Q-values learned in window 88 may be invalid in window 89 — this violates the Arslan & Yüksel stationarity requirement.
89,90,0.07246499734071446,0.26666666666666666,27,1.0,False,Mean TVD 0.072 > 0.05 (FAIL). The transition kernel has shifted substantially between windows 89 and 90. Q-values learned in window 89 may be invalid in window 90 — this violates the Arslan & Yüksel stationarity requirement.
90,91,0.06961296456910493,0.21538461538461534,27,0.9,False,Mean TVD 0.070 > 0.05 (FAIL). The transition kernel has shifted substantially between windows 90 and 91. Q-values learned in window 90 may be invalid in window 91 — this violates the Arslan & Yüksel stationarity requirement.
91,92,0.04768774018148869,0.16666666666666669,26,0.9285714285714286,True,Mean TVD 0.048 > 0.025 (WARN). Moderate kernel drift between windows 91 and 92. Monitor whether this grows over training.
92,93,0.04071014050749171,0.16666666666666669,26,0.9629629629629629,True,Mean TVD 0.041 > 0.025 (WARN). Moderate kernel drift between windows 92 and 93. Monitor whether this grows over training.
93,94,0.0689514307639904,0.2222222222222222,25,0.9259259259259259,False,Mean TVD 0.069 > 0.05 (FAIL). The transition kernel has shifted substantially between windows 93 and 94. Q-values learned in window 93 may be invalid in window 94 — this violates the Arslan & Yüksel stationarity requirement.
94,95,0.05729259214488832,0.2777777777777778,24,0.9230769230769231,False,Mean TVD 0.057 > 0.05 (FAIL). The transition kernel has shifted substantially between windows 94 and 95. Q-values learned in window 94 may be invalid in window 95 — this violates the Arslan & Yüksel stationarity requirement.
95,96,0.08860457831853713,0.28571428571428575,23,0.92,False,Mean TVD 0.089 > 0.05 (FAIL). The transition kernel has shifted substantially between windows 95 and 96. Q-values learned in window 95 may be invalid in window 96 — this violates the Arslan & Yüksel stationarity requirement.
96,97,0.03763623116621183,0.15000000000000002,22,0.9565217391304348,True,Mean TVD 0.038 > 0.025 (WARN). Moderate kernel drift between windows 96 and 97. Monitor whether this grows over training.
97,98,0.07469604438557106,0.1477272727272727,22,0.9565217391304348,False,Mean TVD 0.075 > 0.05 (FAIL). The transition kernel has shifted substantially between windows 97 and 98. Q-values learned in window 97 may be invalid in window 98 — this violates the Arslan & Yüksel stationarity requirement.
98,99,0.057212957545438356,0.2,23,1.0,False,Mean TVD 0.057 > 0.05 (FAIL). The transition kernel has shifted substantially between windows 98 and 99. Q-values learned in window 98 may be invalid in window 99 — this violates the Arslan & Yüksel stationarity requirement.
99,100,0.04208030222271709,0.17142857142857143,25,1.0,True,Mean TVD 0.042 > 0.025 (WARN). Moderate kernel drift between windows 99 and 100. Monitor whether this grows over training.
100,101,0.06165001202668582,0.28571428571428575,26,0.9629629629629629,False,Mean TVD 0.062 > 0.05 (FAIL). The transition kernel has shifted substantially between windows 100 and 101. Q-values learned in window 100 may be invalid in window 101 — this violates the Arslan & Yüksel stationarity requirement.
101,102,0.05462853367265131,0.20634920634920634,26,1.0,False,Mean TVD 0.055 > 0.05 (FAIL). The transition kernel has shifted substantially between windows 101 and 102. Q-values learned in window 101 may be invalid in window 102 — this violates the Arslan & Yüksel stationarity requirement.
102,103,0.056650939945870823,0.26190476190476186,28,1.0,False,Mean TVD 0.057 > 0.05 (FAIL). The transition kernel has shifted substantially between windows 102 and 103. Q-values learned in window 102 may be invalid in window 103 — this violates the Arslan & Yüksel stationarity requirement.
103,104,0.06793770075093122,0.2857142857142857,27,0.9310344827586207,False,Mean TVD 0.068 > 0.05 (FAIL). The transition kernel has shifted substantially between windows 103 and 104. Q-values learned in window 103 may be invalid in window 104 — this violates the Arslan & Yüksel stationarity requirement.
104,105,0.0760229985953936,0.21428571428571427,27,1.0,False,Mean TVD 0.076 > 0.05 (FAIL). The transition kernel has shifted substantially between windows 104 and 105. Q-values learned in window 104 may be invalid in window 105 — this violates the Arslan & Yüksel stationarity requirement.
105,106,0.07560417062907576,0.19047619047619047,26,0.9629629629629629,False,Mean TVD 0.076 > 0.05 (FAIL). The transition kernel has shifted substantially between windows 105 and 106. Q-values learned in window 105 may be invalid in window 106 — this violates the Arslan & Yüksel stationarity requirement.
106,107,0.06290672453673214,0.20833333333333331,24,0.9230769230769231,False,Mean TVD 0.063 > 0.05 (FAIL). The transition kernel has shifted substantially between windows 106 and 107. Q-values learned in window 106 may be invalid in window 107 — this violates the Arslan & Yüksel stationarity requirement.
107,108,0.055587039016376974,0.2666666666666666,23,0.9583333333333334,False,Mean TVD 0.056 > 0.05 (FAIL). The transition kernel has shifted substantially between windows 107 and 108. Q-values learned in window 107 may be invalid in window 108 — this violates the Arslan & Yüksel stationarity requirement.
108,109,0.08370719102850914,0.2698412698412698,23,0.9583333333333334,False,Mean TVD 0.084 > 0.05 (FAIL). The transition kernel has shifted substantially between windows 108 and 109. Q-values learned in window 108 may be invalid in window 109 — this violates the Arslan & Yüksel stationarity requirement.
109,110,0.06093520932298704,0.17857142857142858,22,0.9565217391304348,False,Mean TVD 0.061 > 0.05 (FAIL). The transition kernel has shifted substantially between windows 109 and 110. Q-values learned in window 109 may be invalid in window 110 — this violates the Arslan & Yüksel stationarity requirement.
110,111,0.05712155276783759,0.30000000000000004,22,0.9565217391304348,False,Mean TVD 0.057 > 0.05 (FAIL). The transition kernel has shifted substantially between windows 110 and 111. Q-values learned in window 110 may be invalid in window 111 — this violates the Arslan & Yüksel stationarity requirement.
111,112,0.07498268075377208,0.24999999999999997,24,0.96,False,Mean TVD 0.075 > 0.05 (FAIL). The transition kernel has shifted substantially between windows 111 and 112. Q-values learned in window 111 may be invalid in window 112 — this violates the Arslan & Yüksel stationarity requirement.
112,113,0.04652310480174258,0.2619047619047619,25,0.9615384615384616,True,Mean TVD 0.047 > 0.025 (WARN). Moderate kernel drift between windows 112 and 113. Monitor whether this grows over training.
113,114,0.053659664268216896,0.16666666666666669,24,0.8888888888888888,False,Mean TVD 0.054 > 0.05 (FAIL). The transition kernel has shifted substantially between windows 113 and 114. Q-values learned in window 113 may be invalid in window 114 — this violates the Arslan & Yüksel stationarity requirement.
114,115,0.050082593135998714,0.17142857142857143,22,0.88,False,Mean TVD 0.050 > 0.05 (FAIL). The transition kernel has shifted substantially between windows 114 and 115. Q-values learned in window 114 may be invalid in window 115 — this violates the Arslan & Yüksel stationarity requirement.
115,116,0.04440303628255777,0.1166666666666667,23,1.0,True,Mean TVD 0.044 > 0.025 (WARN). Moderate kernel drift between windows 115 and 116. Monitor whether this grows over training.
116,117,0.053875457650575276,0.2,23,0.9583333333333334,False,Mean TVD 0.054 > 0.05 (FAIL). The transition kernel has shifted substantially between windows 116 and 117. Q-values learned in window 116 may be invalid in window 117 — this violates the Arslan & Yüksel stationarity requirement.
117,118,0.043460779583790604,0.1428571428571429,23,1.0,True,Mean TVD 0.043 > 0.025 (WARN). Moderate kernel drift between windows 117 and 118. Monitor whether this grows over training.
118,119,0.05747792233537166,0.2,22,0.9166666666666666,False,Mean TVD 0.057 > 0.05 (FAIL). The transition kernel has shifted substantially between windows 118 and 119. Q-values learned in window 118 may be invalid in window 119 — this violates the Arslan & Yüksel stationarity requirement.
119,120,0.05187225403390817,0.2222222222222222,21,0.9545454545454546,False,Mean TVD 0.052 > 0.05 (FAIL). The transition kernel has shifted substantially between windows 119 and 120. Q-values learned in window 119 may be invalid in window 120 — this violates the Arslan & Yüksel stationarity requirement.
120,121,0.05517273447227008,0.15454545454545454,20,0.9523809523809523,False,Mean TVD 0.055 > 0.05 (FAIL). The transition kernel has shifted substantially between windows 120 and 121. Q-values learned in window 120 may be invalid in window 121 — this violates the Arslan & Yüksel stationarity requirement.
